                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7625,                 4.0293,                 1.4106,                0.01476,                0.56566,                0.26889,                0.16404,                 1.4149,                 3.7488,                 1.2359,              7.145e-05,              7.145e-05,              7.145e-05
                      2,                 1.5804,                 3.3474,                 1.2994,                0.01956,                0.78956,                0.44506,                0.30014,                 1.2569,                 3.5588,                 1.1051,             0.00014163,             0.00014163,             0.00014163
                      3,                 1.3817,                 2.3588,                 1.1799,                0.01808,                 0.8569,                0.62085,                 0.3735,                 1.2082,                 3.3326,                 1.0577,             0.00019483,             0.00019483,             0.00019483
                      4,                 1.3346,                 2.1723,                 1.1447,                0.01522,                0.78956,                0.65449,                0.42205,                 1.1563,                 3.3075,                 1.0265,             0.00023106,             0.00023106,             0.00023106
                      5,                 1.3352,                 2.1133,                 1.1372,                0.01626,                 0.8569,                0.67573,                0.43776,                 1.1104,                 3.3064,                 1.0351,              0.0002503,              0.0002503,              0.0002503
                      6,                 1.2529,                 1.8433,                 1.1069,                0.01405,                0.81987,                0.73015,                0.44636,                 1.1291,                  3.263,                 1.0417,             0.00025258,             0.00025258,             0.00025258
                      7,                 1.1965,                 1.7226,                 1.0994,                0.01273,                 0.8266,                0.71344,                0.44233,                 1.1483,                 3.2426,                 1.0501,             0.00023787,             0.00023787,             0.00023787
                      8,                 1.2502,                 1.7319,                 1.0795,                0.83414,                0.62476,                0.73947,                 0.4494,                 1.1545,                 3.2119,                 1.0583,             0.00020619,             0.00020619,             0.00020619
                      9,                 1.1611,                 1.6308,                 1.0506,                      1,                 0.1205,                 0.7962,                0.49989,                 1.1512,                 3.0446,                 1.0272,             0.00015753,             0.00015753,             0.00015753
                     10,                 1.1528,                 1.5986,                 1.0763,                      1,                0.15506,                0.85512,                0.55877,                 1.1337,                 2.9051,                  1.013,             9.1899e-05,             9.1899e-05,             9.1899e-05
